date,1. open,2. high,3. low,4. close,5. volume
2024-10-11 19:59:00,217.99,218.01,217.95,217.985,15402.0
2024-10-11 19:58:00,218.0,218.0,217.98,217.99,8950.0
2024-10-11 19:57:00,218.0,218.02,217.98,218.0,11167.0
2024-10-11 19:56:00,218.01,218.03,218.0,218.0,6493.0
2024-10-11 19:55:00,218.03,218.03,218.0,218.0,13053.0
2024-10-11 19:54:00,218.03,218.03,218.01,218.03,2872.0
2024-10-11 19:53:00,218.02,218.05,218.01,218.02,4467.0
2024-10-11 19:52:00,218.03,218.05,218.03,218.04,3519.0
2024-10-11 19:51:00,218.05,218.05,218.02,218.03,3119.0
2024-10-11 19:50:00,218.02,218.05,218.01,218.04,2912.0
2024-10-11 19:49:00,218.015,218.03,218.001,218.0105,2340.0
2024-10-11 19:48:00,218.0385,218.0385,218.0,218.0,2879.0
2024-10-11 19:47:00,218.04,218.05,218.01,218.03,5264.0
2024-10-11 19:46:00,218.0792,218.08,218.04,218.05,2407.0
2024-10-11 19:45:00,218.1,218.11,218.05,218.05,5796.0
2024-10-11 19:44:00,218.16,218.16,218.06,218.11,2825.0
2024-10-11 19:43:00,218.06,218.16,218.06,218.15,3976.0
2024-10-11 19:42:00,218.16,218.16,218.03,218.06,3426.0
2024-10-11 19:41:00,218.1,218.18,218.08,218.16,4083.0
2024-10-11 19:40:00,218.011,218.1,218.01,218.1,4623.0
2024-10-11 19:39:00,218.048,218.05,218.01,218.03,1207.0
2024-10-11 19:38:00,217.985,218.05,217.97,218.0488,10255.0
2024-10-11 19:37:00,217.98,218.0,217.97,217.9985,4891.0
2024-10-11 19:36:00,217.9987,218.0,217.97,217.99,1390.0
2024-10-11 19:35:00,218.0,218.0,217.95,217.975,1957.0
2024-10-11 19:34:00,217.97,218.0,217.94,217.975,1063.0
2024-10-11 19:33:00,217.9994,217.9994,217.9,217.98,3896.0
2024-10-11 19:32:00,217.985,218.0,217.97,218.0,4374.0
2024-10-11 19:31:00,217.99,218.0,217.97,217.985,2046.0
2024-10-11 19:30:00,217.98,217.99,217.97,217.9898,1230.0
2024-10-11 19:29:00,218.0,218.0,217.97,217.98,1123.0
2024-10-11 19:28:00,217.9701,218.0,217.96,217.985,2199.0
2024-10-11 19:27:00,217.99,218.0,217.98,217.98,2395.0
2024-10-11 19:26:00,217.96,218.0,217.9201,217.99,1913.0
2024-10-11 19:25:00,217.96,217.99,217.9103,217.95,2444.0
2024-10-11 19:24:00,217.96,217.97,217.955,217.97,3935.0
2024-10-11 19:23:00,217.99,217.99,217.93,217.95,1772.0
2024-10-11 19:22:00,217.925,217.99,217.91,217.99,2088.0
2024-10-11 19:21:00,217.9388,217.94,217.9,217.94,2580.0
2024-10-11 19:20:00,217.93,217.94,217.9,217.92,3025.0
2024-10-11 19:19:00,217.95,217.95,217.9018,217.93,2817.0
2024-10-11 19:18:00,218.0,218.0,217.9,217.94,2317.0
2024-10-11 19:17:00,218.02,218.02,217.99,218.0,5711.0
2024-10-11 19:16:00,218.03,218.03,218.01,218.02,1796.0
2024-10-11 19:15:00,218.03,218.05,218.0,218.0295,1261.0
2024-10-11 19:14:00,218.05,218.05,218.02,218.02,643.0
2024-10-11 19:13:00,218.09,218.09,218.01,218.05,673.0
2024-10-11 19:12:00,218.05,218.09,218.01,218.01,1961.0
2024-10-11 19:11:00,218.06,218.06,218.02,218.05,2471.0
2024-10-11 19:10:00,218.03,218.06,218.02,218.0584,2690.0
2024-10-11 19:09:00,218.03,218.05,218.01,218.03,1790.0
2024-10-11 19:08:00,218.06,218.06,218.01,218.04,1536.0
2024-10-11 19:07:00,218.04,218.06,218.04,218.06,790.0
2024-10-11 19:06:00,218.05,218.05,218.03,218.05,2500.0
2024-10-11 19:05:00,218.025,218.05,218.01,218.031,1549.0
2024-10-11 19:04:00,218.04,218.04,218.0,218.04,6810.0
2024-10-11 19:03:00,218.01,218.06,218.0,218.038,2173.0
2024-10-11 19:02:00,218.03,218.04,218.0,218.025,2558.0
2024-10-11 19:01:00,218.03,218.06,218.01,218.03,2396.0
2024-10-11 19:00:00,218.06,218.06,218.02,218.03,1729.0
2024-10-11 18:59:00,218.06,218.1,218.01,218.06,2754.0
2024-10-11 18:58:00,217.97,218.05,217.9425,218.035,4021.0
2024-10-11 18:57:00,217.9,217.99,217.88,217.9845,3678.0
2024-10-11 18:56:00,217.95,217.96,217.87,217.9,2393.0
2024-10-11 18:55:00,217.98,217.98,217.87,217.94,4146.0
2024-10-11 18:54:00,217.9801,217.99,217.95,217.98,2254.0
2024-10-11 18:53:00,218.01,218.02,217.98,217.985,12747.0
2024-10-11 18:52:00,218.02,218.03,218.0,218.01,2301.0
2024-10-11 18:51:00,218.02,218.04,218.01,218.02,1081.0
2024-10-11 18:50:00,218.01,218.04,218.0,218.04,3829.0
2024-10-11 18:49:00,218.005,218.01,218.0,218.0095,2516.0
2024-10-11 18:48:00,218.02,218.04,218.0,218.0099,3210.0
2024-10-11 18:47:00,218.025,218.04,218.01,218.025,1982.0
2024-10-11 18:46:00,218.03,218.04,218.02,218.03,1148.0
2024-10-11 18:45:00,218.02,218.04,218.015,218.04,1752.0
2024-10-11 18:44:00,218.03,218.04,218.01,218.025,1745.0
2024-10-11 18:43:00,218.03,218.04,218.0,218.04,2474.0
2024-10-11 18:42:00,218.05,218.05,218.01,218.035,3149.0
2024-10-11 18:41:00,218.045,218.05,218.04,218.04,1665.0
2024-10-11 18:40:00,218.04,218.05,218.04,218.05,2812.0
2024-10-11 18:39:00,218.07,218.07,218.04,218.045,2178.0
2024-10-11 18:38:00,218.07,218.09,218.05,218.05,1713.0
2024-10-11 18:37:00,218.05,218.1,218.05,218.08,3074.0
2024-10-11 18:36:00,218.0795,218.08,218.03,218.08,1990.0
2024-10-11 18:35:00,218.09,218.09,218.06,218.0799,2056.0
2024-10-11 18:34:00,218.0505,218.08,218.0401,218.08,4065.0
2024-10-11 18:33:00,218.06,218.0697,218.0332,218.06,2186.0
2024-10-11 18:32:00,218.08,218.09,218.03,218.06,1137.0
2024-10-11 18:31:00,218.0718,218.1,218.07,218.08,2554.0
2024-10-11 18:30:00,218.07,218.09,218.06,218.07,6460.0
2024-10-11 18:29:00,218.03,218.1,218.03,218.06,1001.0
2024-10-11 18:28:00,218.04,218.08,218.025,218.045,3463.0
2024-10-11 18:27:00,218.0576,218.11,218.035,218.04,3003.0
2024-10-11 18:26:00,218.11,218.11,218.05,218.1,2389.0
2024-10-11 18:25:00,218.11,218.11,218.07,218.11,1455.0
2024-10-11 18:24:00,218.13,218.18,218.07,218.09,3388.0
2024-10-11 18:23:00,218.18,218.18,218.1025,218.14,2284.0
2024-10-11 18:22:00,218.2,218.2,218.12,218.1317,1563.0
2024-10-11 18:21:00,218.11,218.2,218.1,218.17,2611.0
2024-10-11 18:20:00,218.13,218.13,218.095,218.11,2489.0
2024-10-11 18:19:00,218.08,218.15,218.05,218.14,4049.0
2024-10-11 18:18:00,218.16,218.16,218.04,218.07,1064.0
2024-10-11 18:17:00,218.1,218.16,218.03,218.03,4555.0
2024-10-11 18:16:00,218.15,218.16,218.085,218.085,3814.0
2024-10-11 18:15:00,218.17,218.17,218.1405,218.16,1743.0
2024-10-11 18:14:00,218.165,218.19,218.1514,218.17,1851.0
2024-10-11 18:13:00,218.155,218.19,218.15,218.18,567.0
2024-10-11 18:12:00,218.15,218.2,218.02,218.155,3325.0
2024-10-11 18:11:00,218.14,218.15,218.12,218.15,4567.0
2024-10-11 18:10:00,218.11,218.16,218.09,218.14,1711.0
2024-10-11 18:09:00,218.18,218.2,218.09,218.15,3670.0
2024-10-11 18:08:00,218.18,218.2,218.16,218.2,3376.0
2024-10-11 18:07:00,218.16,218.18,218.14,218.17,4591.0
2024-10-11 18:06:00,218.15,218.18,218.12,218.18,1816.0
2024-10-11 18:05:00,218.14,218.15,218.1,218.15,2894.0
2024-10-11 18:04:00,218.14,218.14,218.12,218.14,1970.0
2024-10-11 18:03:00,218.14,218.15,218.08,218.14,2778.0
2024-10-11 18:02:00,218.185,218.19,217.9992,218.1,13853.0
2024-10-11 18:01:00,218.21,218.21,218.18,218.19,4569.0
2024-10-11 18:00:00,218.21,218.21,218.2,218.21,9982.0
2024-10-11 17:59:00,218.215,218.23,218.2,218.2,6361.0
2024-10-11 17:58:00,218.22,218.23,218.2,218.2199,927.0
2024-10-11 17:57:00,218.21,218.24,218.2,218.21,2584.0
2024-10-11 17:56:00,218.2015,218.24,218.2,218.2,3615.0
2024-10-11 17:55:00,218.23,218.25,218.2,218.23,2291.0
2024-10-11 17:54:00,218.15,218.26,218.12,218.2385,6648.0
2024-10-11 17:53:00,218.12,218.15,218.09,218.15,6401.0
2024-10-11 17:52:00,218.14,218.15,218.11,218.12,1482.0
2024-10-11 17:51:00,218.16,218.18,218.12,218.12,2629.0
2024-10-11 17:50:00,218.2,218.25,218.15,218.16,3584.0
2024-10-11 17:49:00,218.21,218.25,218.17,218.25,2619.0
2024-10-11 17:48:00,218.16,218.24,218.15,218.21,4371.0
2024-10-11 17:47:00,218.17,218.18,218.15,218.16,2209.0
2024-10-11 17:46:00,218.18,218.2,218.16,218.179,2729.0
2024-10-11 17:45:00,218.2,218.22,218.15,218.17,2892.0
2024-10-11 17:44:00,218.23,218.25,218.15,218.2128,2120.0
2024-10-11 17:43:00,218.16,218.25,218.16,218.24,4568.0
2024-10-11 17:42:00,218.11,218.21,218.08,218.2,5631.0
2024-10-11 17:41:00,218.13,218.15,218.1,218.138,13813.0
2024-10-11 17:40:00,218.3,218.3,218.13,218.13,7874.0
2024-10-11 17:39:00,218.32,218.34,218.2025,218.3,9646.0
